product_id,product_name,category,price,cost
PRD001,Áo thun basic,Fashion,299000,150000
PRD002,Quần jean slim fit,Fashion,599000,320000
PRD003,Giày sneaker trắng,Footwear,899000,480000
PRD004,Balo laptop 15 inch,Accessories,749000,400000
PRD005,Mũ lưỡi trai,Accessories,199000,90000
PRD006,Áo sơ mi,Fashion,449000,240000
PRD007,Váy midi,Fashion,529000,280000
PRD008,Giày boot da,Footwear,1299000,720000
PRD009,Túi xách nữ,Accessories,899000,480000
PRD010,Dép sandal,Footwear,399000,200000
PRD011,Áo khoác jean,Fashion,799000,420000
PRD012,Quần short,Fashion,349000,180000
PRD013,Kính mát,Accessories,599000,310000
PRD014,Dây nịt da,Accessories,299000,140000
PRD015,Giày thể thao,Footwear,1099000,600000
